store_name,address,city,postal_code,phone_number,hours_of_operation,owner_details,website,distance_km
Spiritleaf,"3295 FAIRVIEW ST, UNIT 004A, BURLINGTON, ON, L7N 3N9",BURLINGTON,L7N 3N9,905-633-7041,"Hours of Operation: Monday 9:00 AM - 11:00 PM Tuesday 9:00 AM - 11:00 PM Wednesday 9:00 AM - 11:00 PM Thursday 9:00 AM - 11:00 PM Friday 9:00 AM - 11:00 PM Saturday 9:00 AM - 11:00 PM Sunday 9:00 AM - 11:00 PM 3295 Fairview Street, Burlington, Ontario, L7N 3N9 P: 905-633-7041 E: burlingtonsouth@spir",Not publicly disclosed,https://spiritleaf.ca/collections/spiritleaf-woodview-place,3.232605483504865
Sessions Cannabis Stoney Creek,"1786 STONE CHURCH RD E, STONEY CREEK, ON, L8W0B4",STONEY CREEK,L8W0B4,(905) 560-4274,1 month ago,Not publicly disclosed,https://www.sessions.ca/locations/1786-stone-church-rd-hamilton-dispensary/,14.967257062898051
T CANNABIS,"4322 ONTARIO STREET UNIT 3, BEAMSVILLE, ON, L0R1B5",BEAMSVILLE,L0R1B5,Not listed,Hours: Monday - Saturday: 9 AM - 9 PM Sunday: 11 AM - 7 PM,Not publicly disclosed,https://tcann.ca/,31.51411577582014
Lolly,"14 CAITHNESS ST E, CALEDONIA, ON, N3W1L4",CALEDONIA,N3W1L4,Not listed,Not listed,Not publicly disclosed,,30.590555604562137
Giggles Cannabis,"163 MAIN ST W, HAMILTON, ON, L8P1J1",HAMILTON,L8P1J1,Not listed,Not listed,Not publicly disclosed,,9.866923343193845
James Street Cannabis Co.,"574 JAMES ST N UNIT 7, HAMILTON, ON, L8L1J7",HAMILTON,L8L1J7,905-308-9444,"At James Street Cannabis, we care. We believe in education, transparency, and friendliness. We are also privileged to be of service — and build something we are proud of — to the North End of Hamilton.",Not publicly disclosed,https://www.jamesstreetcannabis.com,7.839509732742004
420 Love Main and Gage,"976 MAIN ST E, HAMILTON, ON, L8M1M8",HAMILTON,L8M1M8,Not listed,Not listed,Not publicly disclosed,,9.290682537349907
DA CANNA,"281 CANNON ST E, HAMILTON, ON, L8L2B4",HAMILTON,L8L2B4,Not listed,Not listed,Not publicly disclosed,https://dacanna.ca/,8.786906626530937
SESSIONS CANNABIS - BINBROOK,"2537 RR 56 UNIT B12, BINBROOK, ON, L0R1C0",BINBROOK,L0R1C0,(289) 522-0109,2 months ago,Not publicly disclosed,https://www.sessions.ca/locations/binbrook-dispensary/,22.280509740312585
CABBAGE BROTHERS,"192 LOCKE ST S, HAMILTON, ON, L8P4B4",HAMILTON,L8P4B4,905-628-6324,Sun – Wed : 10 AM – 8:30 PM | Thur - Sat : 10 AM - 9 PM | Sun – Wed : 10 AM – 8:30 PM | Thur - Sat : 10 AM - 9 PM | Sun – Wed : 10 AM – 8:30 PM | Thur - Sat : 10 AM - 9 PM | Sun – Wed : 10 AM – 8:30 PM,Not publicly disclosed,https://www.cabbagebros.com,10.533504023423516
HIBUZZ,"40 RIVERMONT RD UNIT D2, BRAMPTON, ON, L6Y6G7",BRAMPTON,L6Y6G7,Not listed,Not listed,Not publicly disclosed,https://www.hibuzz.ca,33.09574955982016
CABBAGE BROTHERS,"57 COOTES DR, HAMILTON, ON, L9H1B5",HAMILTON,L9H1B5,905-628-6324,Sun – Wed : 10 AM – 8:30 PM | Thur - Sat : 10 AM - 9 PM | Sun – Wed : 10 AM – 8:30 PM | Thur - Sat : 10 AM - 9 PM | Sun – Wed : 10 AM – 8:30 PM | Thur - Sat : 10 AM - 9 PM | Sun – Wed : 10 AM – 8:30 PM,Not publicly disclosed,https://www.cabbagebros.com,13.539212864955726
Sweet Releafs Inc.,"1660 UPPER JAMES ST UNIT 4, HAMILTON, ON, L9B1K5",HAMILTON,L9B1K5,Not listed,Monday,Not publicly disclosed,https://www.sweetreleafs.ca,15.817720476415182
TREETOP,"150 NIPISSING RD UNIT 3, MILTON, ON, L9T5B3",MILTON,L9T5B3,905-878-8282,Mondaze: 9:00 AM- 10:00 PM | Tuesdaze: 9:00 AM- 10:00 PM | Wednesdaze: 9:00 AM- 10:00 PM | Thursdaze: 9:00 AM- 10:00 PM | Fridaze: 9:00 AM- 11:00 PM | Saturdaze: 9:00 AM- 11:00 PM | Sundaze: 9:00 AM- 8:00 PM,Not publicly disclosed,https://www.tree-top-cannabis.ca,22.418958359475443
Sessions Cannabis - Rymal,"675 RYMAL RD E UNIT B103, HAMILTON, ON, L8W1B5",HAMILTON,L8W1B5,(905) 318-0025,1 month ago,Not publicly disclosed,https://www.sessions.ca/locations/675-rymal-rd-e-hamilton-dispensary/,15.400596853407766
TOKE CANNABIS,"247 CENTENNIAL PKY N UNIT 2, HAMILTON, ON, L8E2X3",HAMILTON,L8E2X3,(416) 530-7750,Mon-Thu: 9:00 AM - 10:00 PM Fri-Sat: 9:00 AM - 11:00 PM Sun: 9:00 AM - 9:00 PM,Not publicly disclosed,https://tokecannabis.com/,10.266916189386034
Barttowa Tree,"1081 BARTON ST E, HAMILTON, ON, L8L3E2",HAMILTON,L8L3E2,(905) 545-1192,"Our team is knowledgeable in the cannabis industry and super friendly. Come on in and give us a try, we know this will be your favorite dispensary in Hamilton!",Not publicly disclosed,https://barttowatree.ca,8.343270191523308
THE WOODS CANNABIS,"5 MONTPELIER ST UNIT A103, BRAMPTON, ON, L6Y6H4",BRAMPTON,L6Y6H4,905-451-9600,Concentrates Badder Diamonds Hash Shatter Resin Rosin Syringes / Dispensers,Not publicly disclosed,https://thewoodscannabis.ca,34.195787112200044
THE HUNNY POT CANNABIS CO.,"101 JAMES SNOW PKY N UNIT#6 & 7, MILTON, ON, L9E 0H4",MILTON,L9E 0H4,Not listed,Not listed,Not publicly disclosed,https://thehunnypot.com/,24.13065242394608
SESSIONS CANNABIS - ROSEDALE,"1900 KING ST E, HAMILTON, ON, L8K1W1",HAMILTON,L8K1W1,Not listed,Not listed,Not publicly disclosed,https://www.sessions.ca/locations/1900-king-st-E-hamilton-dispensary/,10.458906538385678
CANNA CABANA,"3505 UPPER MIDDLE RD UNIT D003, BURLINGTON, ON, L7M4C6",BURLINGTON,L7M4C6,Not listed,Sun – Sat,Not publicly disclosed,https://cannacabana.com/,5.966568847824789
BUDSSMOKE,"2017 LAKESHORE RD, BURLINGTON, ON, L7R1A1",BURLINGTON,L7R1A1,Not listed,Not listed,Not publicly disclosed,,0.2883843293100335
True North Cannabis Company,"326 OTTAWA ST N, HAMILTON, ON, L8H4A1",HAMILTON,L8H4A1,(289) 678-1855,Mon-Wed: 9:00 AM - 9:00 PM Thu-Fri: 9:00 AM - 10:00 PM Sat: 10:00 AM - 10:00 PM Sun: 10:00 AM - 9:00 PM,Not publicly disclosed,https://www.tncc.ca/shop/hamilton/,8.403590111695072
Hibuzz,"7955 FINANCIAL DR UNIT B, BRAMPTON, ON, L6Y0J8",BRAMPTON,L6Y0J8,Not listed,Not listed,Not publicly disclosed,https://www.hibuzz.ca,34.20165140882331
CANNA CABANA,"1155 MAPLE AVE UNIT F014, MILTON, ON, L9T0A5",MILTON,L9T0A5,Not listed,Sun – Sat,Not publicly disclosed,https://cannacabana.com/,24.36544686933489
Sparkle Cannabis Company,"778 CONCESSION ST, HAMILTON, ON, L8V1C8",HAMILTON,L8V1C8,Not listed,"SHOP ABOUT FAQs LOYALTY LOCATIONS DELIVERY SHOP ABOUT FAQs LOYALTY LOCATIONS DELIVERY LOOKING FOR THE GOOD STUFF? Edit Age Gate Widget Are you 19+? You must be at least 19 to enter. Yes No SHOP OUR 3 LOCATIONS, OFFERING DELIVERY TO YOUR DOOR SHOP NOW START DELIVERY YOU WANT IT? WE GOT IT. Sparkle Ca",Not publicly disclosed,https://www.sparklecannabis.ca,10.29126024606583
The Cannabis Guys,"8335 FINANCIAL DR UNIT 5-6, BRAMPTON, ON, L6Y1M1",BRAMPTON,L6Y1M1,Not listed,About FAQs Locations Contact Us Shop Now Login Pickup Delivery Pickup at ️ Pickup Location ️ Delivery Location ️ All Locations Home About FAQs Contact Us Shop Now Log In Sign Up SHOP NOW WE DELIVER YOUR WEED Herbal Greens is weed delivery done right. Our superior selection of top-quality brands and ,Not publicly disclosed,https://www.thecannabisguys.ca,34.59451936352744
SESSIONS CANNABIS - CARLISLE,"278 CARLISLE RD, CARLISLE, ON, L0R1H2",CARLISLE,L0R1H2,(289) 895-9191,3 months ago,Not publicly disclosed,https://www.sessions.ca/locations/278-carlisle-rd-carlisle/,16.52365619337659
Toke Cannabis,"4999 KING STREET, BEAMSVILLE, ON, L0R 1B0",BEAMSVILLE,L0R 1B0,(416) 530-7750,Mon-Thu: 9:00 AM - 10:00 PM Fri-Sat: 9:00 AM - 11:00 PM Sun: 9:00 AM - 9:00 PM,Not publicly disclosed,https://tokecannabis.com/,31.60236724415073
THE FARMHOUSE CANNABIS CO.,"666 APPLEBY LINE SUITE C101, BURLINGTON, ON, L7L5Y3",BURLINGTON,L7L5Y3,(905) 333-5113,Monday - Wednesday: 10am - 9pm | Thursday - Saturday: 10am - 10pm | Sunday: 10am - 8pm | Sunday - Wednesday: 10am - 9pm | Thursday: 10am - 10pm | Friday & Saturday: 10am - 11pm,Not publicly disclosed,https://www.welcometofarmhouse.com,6.00038565223118
Sessions Cannabis - Dundurn,"50 DUNDURN ST S UNIT 6, HAMILTON, ON, L8P4W3",HAMILTON,L8P4W3,(905) 522-3337,1 month ago,Not publicly disclosed,https://www.sessions.ca/locations/50-dundurn-st-s-hamilton-dispensary/,10.217603235834364
Sweet Releafs Inc,"728 BURLOAK DRIVE UNIT C4, BURLINGTON, ON, L7L6P2",BURLINGTON,L7L6P2,Not listed,Monday,Not publicly disclosed,https://www.sweetreleafs.ca,8.092422444803347
PLEASANTREES,"372 BRANT ST, BURLINGTON, ON, L7R2E8",BURLINGTON,L7R2E8,(905) 632-3154,SENIORS DAY EVERY WEDNESDAY,Not publicly disclosed,https://www.pleasantreescorp.ca,0.1680814794195745
VILLAGE CANNABIS CO.,"275 KING ST E, HAMILTON, ON, L8N1B9",HAMILTON,L8N1B9,Not listed,Not listed,Not publicly disclosed,https://villagecannabisco.ca,9.39285381345624
CABBAGE BROTHERS,"483 HWY 8 UNIT 3, STONEY CREEK, ON, L8G5B9",STONEY CREEK,L8G5B9,905-628-6324,Sun – Wed : 10 AM – 8:30 PM | Thur - Sat : 10 AM - 9 PM | Sun – Wed : 10 AM – 8:30 PM | Thur - Sat : 10 AM - 9 PM | Sun – Wed : 10 AM – 8:30 PM | Thur - Sat : 10 AM - 9 PM | Sun – Wed : 10 AM – 8:30 PM,Not publicly disclosed,https://www.cabbagebros.com,13.843724733073268
The Hunny Pot Cannabis Co.,"659 UPPER JAMES ST, HAMILTON, ON, L9C 5R8",HAMILTON,L9C 5R8,Not listed,Not listed,Not publicly disclosed,https://thehunnypot.com,11.768144856122408
Canna Cabana ,"14 MARTINDALE CRES UNIT 4A, ANCASTER, ON, L9K1J9",ANCASTER,L9K1J9,Not listed,Sun – Sat,Not publicly disclosed,https://cannacabana.com/,15.626430590071127
FIKA LOCAL CANNABIS,"1290 STEELES AVENUE EAST UNIT C3.3, MILTON , ON , L9T 6R1",MILTON ,L9T 6R1,Not listed,Not listed,Not publicly disclosed,https://fikacannabis.com/,24.8997953472045
BUD'S CANNABIS STORE,"300 MAIN ST E, MILTON, ON, L9T1P3",MILTON,L9T1P3,Not listed,Home About Locations Buds Cannabis Store Milton Buds Cannabis Store Guelph Buds Cannabis Store - Baldwin Buds Cannabis Store - Campbellville FAQs Contact Us Videos Pickup Delivery Pickup at ️ Pickup Location ️ Delivery Location ️ All Locations Home About Locations Buds Cannabis Store Milton Buds Can,Not publicly disclosed,https://www.budscannabisstore.ca,22.084905695782304
Cannabis Cupboard,"410 UPPER SHERMAN AVE, HAMILTON, ON, L8V3L3",HAMILTON,L8V3L3,Not listed,Your Friendly Neighborhood Cannabis Shop,Not publicly disclosed,https://cannabiscupboard.ca,10.5403051089243
INHALE EXHALE CANNABIS,"2732 BARTON ST E UNIT 4, HAMILTON, ON, L8E4M6",HAMILTON,L8E4M6,(905)-578-5369,Not listed,Not publicly disclosed,https://www.inhaleexhalecannabis.ca/hamilton,11.092607278753851
Green King Cannabis,"236 GOVERNORS RD, DUNDAS, ON, L9H3K2",DUNDAS,L9H3K2,Not listed,Not listed,Not publicly disclosed,https://www.greenkingcannabis.com,15.427864007011957
The Hunny Pot Cannabis Co,"2000 APPLEBY LINE UNIT F3, BURLINGTON, ON, L7L 6M6 ",BURLINGTON,L7L 6M6 ,Not listed,Not listed,Not publicly disclosed,https://thehunnypot.com,7.658525476061576
Tokyo Smoke,"369 MOUNTAINVIEW RD S UNIT BB03, GEORGETOWN, ON, L7G5X3",GEORGETOWN,L7G5X3,Not listed,"We’re proud to be among the OG cannabis lifestyle brands, retailers and producers. Here’s a quick rundown on how to make the most of Tokyo Smoke. If you’re brand new, or just returning to cannabis, you may need to stock up on basics. Check out our starter’s kit. THC and CBD: These are compounds in c",Not publicly disclosed,https://ca.tokyosmoke.com/,34.44419799496332
QUEEN GEORGE CANNABIS,"140 CAROLINE ST S, HAMILTON, ON, L8P3K8",HAMILTON,L8P3K8,289-389-6889,"Our stores are legal, clean and safe — and our friendly staff will answer your questions and elevate your cannabis shopping experience. We take great pride in offering a premium and diverse selection of cannabis products from all across Canada.",Not publicly disclosed,https://queengeorge.ca,10.132345797127975
CANNABIS HOUSE CO.,"800 BARTON ST E, HAMILTON, ON, L8L3B3",HAMILTON,L8L3B3,Not listed,Not listed,Not publicly disclosed,,8.238129555981876
Friendly Stranger ,"112-101 OSLER DR, DUNDAS, ON, L9H4H4",DUNDAS,L9H4H4,Not listed,Not listed,Not publicly disclosed,https://friendlystranger.com/shop,13.757387903958476
Friendly Stranger,"1025 & 1059 PLAINS RD E UNIT 3 , BURLINGTON , ON , L7T4K1 ",BURLINGTON ,L7T4K1 ,Not listed,Not listed,Not publicly disclosed,https://friendlystranger.com/shop,2.321721945818205
In Bloom Cannabis,"1831 MAIN ST W UNIT A, HAMILTON, ON, L8S1H6",HAMILTON,L8S1H6,Not listed,Not listed,Not publicly disclosed,,13.933582699585786
Mystic's Cannabis,"135 KENILWORTH AVE N, HAMILTON, ON, L8H4R7",HAMILTON,L8H4R7,Not listed,Indica | Sativa | Hybrid,Not publicly disclosed,https://www.mysticscannabis.ca,9.026612797073348
Mystic's Cannabis,"2141 KING ST E, HAMILTON, ON, L8K1W5",HAMILTON,L8K1W5,Not listed,Indica | Sativa | Hybrid,Not publicly disclosed,https://www.mysticscannabis.ca,10.489779731648367
ROYAL LEAFS WATERDOWN,"40 MAIN ST N, WATERDOWN, ON, L0R 2H0",WATERDOWN,L0R 2H0,(365) 205-3237,Monday-Sunday: 10 AM - 10 PM,Not publicly disclosed,https://www.royalleafs.ca,7.735204313905856
SUPERBUD,"5001 GREENLANE RD UNIT 4, BEAMSVILLE, ON, L0R1B3",BEAMSVILLE,L0R1B3,Not listed,Not listed,Not publicly disclosed,,30.61607761655397
Piffingtons Cannabis Co,"100 BRONTE ST S UNIT 4, MILTON, ON, L9T9B1",MILTON,L9T9B1,Not listed,Not listed,Not publicly disclosed,,21.29530257334655
Fire & Flower Cannabis Co.,"333 MOUNTAINVIEW RD S UNIT 7 & 8, GEORGETOWN, ON, L7G6E8",GEORGETOWN,L7G6E8,Not listed,Not listed,Not publicly disclosed,https://fireandflower.com/shop,34.78543799093084
Sessions Cannabis,"369 HIGHWAY 8 UNIT B2, STONEY CREEK, ON, L8G1E7",STONEY CREEK,L8G1E7,Not listed,Not listed,Not publicly disclosed,,13.243282420302917
Bongbaba Cannabis Culture,"1685 MAIN ST W SUITE 80, HAMILTON, ON, L8S1G5",HAMILTON,L8S1G5,Not listed,Not listed,Not publicly disclosed,,13.37700209036186
HIGHLIFE ANCASTER,"1142 WILSON ST W UNIT 9, ANCASTER, ON, L9G3K9",ANCASTER,L9G3K9,Not listed,Not listed,Not publicly disclosed,https://highlife.ca,22.809102964010187
Bud Xpress ,"963 KING ST E, HAMILTON, ON, L8M1C3",HAMILTON,L8M1C3,Not listed,Not listed,Not publicly disclosed,https://budxpressinc.com/,8.75539775752767
Canna Cabana,"905 RYMAL RD E UNIT 110, HAMILTON, ON, L8W3M2",HAMILTON,L8W3M2,Not listed,Sun – Sat,Not publicly disclosed,https://cannacabana.com/,15.318766677706304
HARVEST CANNABIS CO,"172 ARGYLE ST N UNIT 1, CALEDONIA, ON, N3W2J7",CALEDONIA,N3W2J7,(289) 237-2286,Not listed,Not publicly disclosed,https://Harvestcannabisco.ca,30.1661987459874
Lady Leaf,"372 KING ST E SUITE 101, HAMILTON, ON, L8N1C3",HAMILTON,L8N1C3,(905) 522-0184,Monday 10AM - 9PM | Tuesday 10AM - 9PM | Wednesday 10AM - 9PM | Thursday 10AM - 9PM | Friday 10AM - 9PM | Saturday 10AM - 9PM | Sunday 10AM - 9PM,Not publicly disclosed,https://www.ladyleaf.ca,9.364517044005922
Blue Sage Cannabis,"835 KING ST E, HAMILTON, ON, L8M1B1",HAMILTON,L8M1B1,Not listed,Sunday - Thursday: 11 AM - 9 PM | Fridays - Saturdays: 11 AM - 10PM,Not publicly disclosed,https://www.bluesagecannabis.ca,8.935250188990155
WE'D,"205 QUIGLEY RD SUITE 5, HAMILTON, ON, L8K5M8",HAMILTON,L8K5M8,Not listed,Not listed,Not publicly disclosed,,12.154540106209954
Mont Kailash Cannabis,"1220 BRANT ST UNIT 3B, BURLINGTON, ON, L7P1X8",BURLINGTON,L7P1X8,Not listed,Not listed,Not publicly disclosed,,2.948041781896258
Sparkle Cannabis Company,"730 GUELPH LINE UNIT 1, BURLINGTON, ON, L7R3N5",BURLINGTON,L7R3N5,Not listed,Not listed,Not publicly disclosed,,2.195462867859317
Sparkle Cannabis Company,"730 GUELPH LINE UNIT 1, BURLINGTON, ON, L7R3N5",BURLINGTON,L7R3N5,Not listed,Not listed,Not publicly disclosed,,2.195462867859317
Taste Buds Cannabis,"26 MAIN ST E UNIT B, MILTON, ON, L9T1N3",MILTON,L9T1N3,Not listed,Not listed,Not publicly disclosed,,21.61677164125135
Offside Cannabis,"1033 KING ST W, HAMILTON, ON, L8S1L6",HAMILTON,L8S1L6,Not listed,Not listed,Not publicly disclosed,https://offsidecannabis.com,11.236617760806736
PEPE,"892 BRANT ST UNIT 3, BURLINGTON, ON, L7R2J5",BURLINGTON,L7R2J5,905-333-5373,"A sleek, versatile black tote bag by PEPE.",Not publicly disclosed,https://pepecannabisstore.com/,1.64001542758184
Greenhouse,"1216 UPPER WENTWORTH ST, HAMILTON, ON, L9A4W2",HAMILTON,L9A4W2,Not listed,Not listed,Not publicly disclosed,https://www.greenhousecannabis.ca/pages/menu.html#/menu,13.9633173730321
Tokyo Smoke Waterdown,"52-90 DUNDAS ST E UNIT C4.5, WATERDOWN, ON, L9H 7K6",WATERDOWN,L9H 7K6,Not listed,"We’re proud to be among the OG cannabis lifestyle brands, retailers and producers. Here’s a quick rundown on how to make the most of Tokyo Smoke. If you’re brand new, or just returning to cannabis, you may need to stock up on basics. Check out our starter’s kit. THC and CBD: These are compounds in c",Not publicly disclosed,https://ca.tokyosmoke.com/pages/tokyo-smoke-waterdown-dundas,9.235741279527424
Uncle Louie's Cannabis Shop,"574 PLAINS RD E UNIT B, BURLINGTON, ON, L7T2E5",BURLINGTON,L7T2E5,905) 333-0220,Monday - Saturday 9am-10pm | Sunday 9am-9pm,Not publicly disclosed,https://www.unclelouiescannabis.ca,2.8403548780197414
TreeTop,"796 BRANT ST, BURLINGTON, ON, L7R2J2",BURLINGTON,L7R2J2,905-878-8282,Mondaze: 9:00 AM- 10:00 PM | Tuesdaze: 9:00 AM- 10:00 PM | Wednesdaze: 9:00 AM- 10:00 PM | Thursdaze: 9:00 AM- 10:00 PM | Fridaze: 9:00 AM- 11:00 PM | Saturdaze: 9:00 AM- 11:00 PM | Sundaze: 9:00 AM- 8:00 PM,Not publicly disclosed,https://www.tree-top-cannabis.ca,1.2787218963764422
Value Buds,"859 BARTON ST E, HAMILTON, ON, L8L3B4",HAMILTON,L8L3B4,Not listed,$2 Tuesday,Not publicly disclosed,https://www.valuebuds.com,8.2502895550173
Value Buds,"1235 FAIRVIEW ST UNIT A, BURLINGTON, ON, L7S 2H9",BURLINGTON,L7S 2H9,Not listed,$2 Tuesday,Not publicly disclosed,https://www.valuebuds.com,1.7396680926299974
Value Buds ,"2485 APPLEBY LINE UNIT G1, BURLINGTON, ON, L7L0B6",BURLINGTON,L7L0B6,Not listed,$2 Tuesday,Not publicly disclosed,https://www.valuebuds.com,8.980184663090608
Hidden Leaf Cannabis,"181 PLAINS RD W UNIT 2, BURLINGTON, ON, L7T0B1",BURLINGTON,L7T0B1,Not listed,Not listed,Not publicly disclosed,,5.47629387416384
One Plant Burlington,"2025 GUELPH LINE UNIT 133, BURLINGTON, ON, L7P4M8",BURLINGTON,L7P4M8,Not listed,Not listed,Not publicly disclosed,https://www.oneplant.ca/locations/burlington,4.934661055803694
NEKU CANNABIS,"38 HESS ST S, HAMILTON, ON, L8P3N1",HAMILTON,L8P3N1,905-524-5555,Monday 9am – 9pm Tuesday 9am – 9pm Wednesday 9am – 9pm Thursday 9am – 10pm Friday 9am – 10pm Saturday 9am – 10pm Sunday 11 am – 9pm,Not publicly disclosed,https://nekucannabis.com/,9.868523529599653
NEKU CANNABIS,"89 KING ST E, STONEY CREEK, ON, L8G1K5",STONEY CREEK,L8G1K5,905-524-5555,Monday 9am – 9pm Tuesday 9am – 9pm Wednesday 9am – 9pm Thursday 9am – 10pm Friday 9am – 10pm Saturday 9am – 10pm Sunday 11 am – 9pm,Not publicly disclosed,https://nekucannabis.com,12.656865748921192
Tokyo Smoke Milton,"890 MAIN ST E UNIT 8, MILTON, ON, L9T0J4",MILTON,L9T0J4,Not listed,"We’re proud to be among the OG cannabis lifestyle brands, retailers and producers. Here’s a quick rundown on how to make the most of Tokyo Smoke. If you’re brand new, or just returning to cannabis, you may need to stock up on basics. Check out our starter’s kit. THC and CBD: These are compounds in c",Not publicly disclosed,https://ca.tokyosmoke.com/pages/tokyo-smoke-milton-commons,23.15830540130493
COST CANNABIS,"32 BARTON ST E, HAMILTON, ON, L8L2V5",HAMILTON,L8L2V5,(306) 946-3980,Hours: Monday - Sunday: 9AM - 11PM,Not publicly disclosed,https://costcan.ca/,8.682879830059239
One Plant,"2172 RYMAL RD E UNIT E1, HANNON, ON, L0R1P0",HANNON,L0R1P0,Not listed,Not listed,Not publicly disclosed,https://www.oneplant.ca/locations/hamilton#,16.817405564066632
Cannabis Cupboard,"4506 ONTARIO ST UNIT 4, BEAMSVILLE, ON, L3J0A9",BEAMSVILLE,L3J0A9,Not listed,Your Friendly Neighborhood Cannabis Shop,Not publicly disclosed,https://cannabiscupboard.ca,30.90096209085765
Queen George Cannabis,"1104 FENNELL AVE E UNIT 8, HAMILTON, ON, L8T1R9",HAMILTON,L8T1R9,289-389-6889,"Our stores are legal, clean and safe — and our friendly staff will answer your questions and elevate your cannabis shopping experience. We take great pride in offering a premium and diverse selection of cannabis products from all across Canada.",Not publicly disclosed,https://queengeorge.ca,11.407119550656692
Spiritleaf Ancaster,"1090 WILSON ST W UNIT 3, ANCASTER, ON, L9G3K9",ANCASTER,L9G3K9,Not listed,Not listed,Not publicly disclosed,https://We have two websites. One through corporate and the other is through our location only,22.583660257188228
Silverleaf Cannabis,"736A QUEENSTON RD, HAMILTON, ON, L8G1A4",HAMILTON,L8G1A4,Not listed,Not listed,Not publicly disclosed,,10.98218590301119
Tokyo Smoke Fennell,"967 FENNELL AVE E UNIT 4, HAMILTON, ON, L8T1R1",HAMILTON,L8T1R1,Not listed,"We’re proud to be among the OG cannabis lifestyle brands, retailers and producers. Here’s a quick rundown on how to make the most of Tokyo Smoke. If you’re brand new, or just returning to cannabis, you may need to stock up on basics. Check out our starter’s kit. THC and CBD: These are compounds in c",Not publicly disclosed,https://ca.tokyosmoke.com/,11.309959760289647
Bestbudz,"1024 UPPER WENTWORTH ST UNIT 7, HAMILTON, ON, L9A4V9",HAMILTON,L9A4V9,+1 905-575-8768,"If you’re an experienced cannabis connoisseur, easily choose from our wide selection of quality products, including flower, pre-rolls, edibles, extracts, vapes, and more. If you’re a newbie, have a simple conversation with our knowledgeable Budtender and you’ll be guided to the perfect answer to you",Not publicly disclosed,https://bestbudz.ca,13.246123905019346
AFFX CANNABIS,"263 UPPER CENTENNIAL PKY UNIT 3, HAMILTON, ON, L8J2V7",HAMILTON,L8J2V7,Not listed,Not listed,Not publicly disclosed,https://highlife.ca,15.366159159555512
